Code 0 -1.9805801561918 -1.87587689089662
Code 1 -1.87587689089662 -1.77117362560144
Code 2 -1.77117362560144 -1.66647036030627
Code 3 -1.66647036030627 -1.56176709501109
Code 4 -1.56176709501109 -1.45706382971591
Code 5 -1.45706382971591 -1.35236056442073
Code 6 -1.35236056442073 -1.24765729912556
Code 7 -1.24765729912556 -1.14295403383038
Code 8 -1.14295403383038 -1.0382507685352
Code 9 -1.0382507685352 -0.933547503240026
Code 10 -0.933547503240026 -0.828844237944848
Code 11 -0.828844237944848 -0.724140972649671
Code 12 -0.724140972649671 -0.619437707354494
Code 13 -0.619437707354494 -0.514734442059317
Code 14 -0.514734442059317 -0.410031176764139
Code 15 -0.410031176764139 -0.305327911468962
Code 16 -0.305327911468962 -0.200624646173785
Code 17 -0.200624646173785 -0.0959213808786077
Code 18 -0.0959213808786077 0.00878188441656946
Code 19 0.00878188441656946 0.113485149711747
Code 20 0.113485149711747 0.218188415006924
Code 21 0.218188415006924 0.322891680302101
Code 22 0.322891680302101 0.427594945597278
Code 23 0.427594945597278 0.532298210892455
Code 24 0.532298210892455 0.637001476187633
Code 25 0.637001476187633 0.74170474148281
Code 26 0.74170474148281 0.846408006777987
Code 27 0.846408006777987 0.951111272073164
Code 28 0.951111272073164 1.05581453736834
Code 29 1.05581453736834 1.16051780266352
Code 30 1.16051780266352 1.2652210679587
Code 31 1.2652210679587 1.36992433325387
Code 32 1.36992433325387 1.47462759854905
Code 33 1.47462759854905 1.57933086384423
Code 34 1.57933086384423 1.68403412913941
Code 35 1.68403412913941 1.78873739443458
Code 36 1.78873739443458 1.89344065972976
Code 37 1.89344065972976 1.99814392502494
Code 38 1.99814392502494 2.10284719032011
Code 39 2.10284719032011 2.20755045561529
